"","genere","annonascita","occhi","capelli","altezza","peso","tatoo","piercing","partner","relazionemesi","instagram_post","instagram_follower","instagram_following","fb1","fb2","fb3","sms1","sms2","sms3","sigarette","alcol","alcol2","alcol3","att_fisica1","att_fisica2","att_fisica3","verdura","cannabisamici","cannabispassato","cannabispresente","ECR.avoidance","ECR.anxiety","DASS.depression","DASS.anxiety","DASS.stress","NARCIS.leadership","NARCIS.esibiz","NARCIS.sfrutt","NARCIS.totale","eta","sms","fb","att_fisica","alcol_"
"11","Maschio",1999,"Castani","Castani",177,73,0,0,"No",NA,7,98,145,10,0,30,2,4,6,"Da 1 a 5","Tra 1 e 5","1 o 2","Una o poche volte all'anno",60,4,100,"1-2",3,"Occasionale","Occasionale",3.88888888888889,4.33333333333333,10,9,16,0,2,1,3,21,4,65.3333333333333,113.833333333333,60.1666666666667
"12","Femmina",1999,"Castani","Castani",164,58,0,0,"No",NA,7,500,500,100,5,0,0,0,2,"Da 1 a 5","Tra 6 e 10","1 o 2","Circa una volta a settimana",0,0,0,"1-2",2,"Quotidiano","Quotidiano",3.83333333333333,2.55555555555556,2,1,4,0,0,1,1,21,0.666666666666667,62.1666666666667,24.5,86
"13","Femmina",1999,"Verdi","Biondi",169,57,0,0,"No",NA,42,712,705,10,16,1,3,2,1,"Da 1 a 5","Tra 1 e 5","3 o 4","Circa una volta al mese",120,1,15,"3-4",0,"Mai","No",2.44444444444444,1.55555555555556,5,1,7,0,1,1,2,21,2,61.6666666666667,92.8333333333333,95.3333333333333
"14","Maschio",1999,"Castani","Castani",185,95,1,0,"No",NA,18,204,187,10,20,0,0,1,0,"Da 1 a 5","Tra 6 e 10","1 o 2","Circa una volta a settimana",60,0,0,"1-2",1,"Quotidiano","Quotidiano",3.72222222222222,4.64705882352941,7,9,7,0,0,2,2,21,0.333333333333333,50.6666666666667,57.1666666666667,86
"15","Femmina",1999,"Verdi","Castani",174,60,3,0,"No",NA,33,686,339,6,40,1,5,8,1,"Da 6 a 10","Tra 1 e 5","1 o 2","Mai o quasi",20,0,0,"1-2",0,"L'ho provato","No",2.72222222222222,5.72222222222222,2,5,11,0,1,1,2,21,4.66666666666667,62.1666666666667,31,46.3333333333333
"16","Femmina",1997,"Verdi","Castani",165,53,0,2,"Sì",27,30,234,299,10,5,0,6,9,4,"Non fumo","Nessuno","0","Mai o quasi",60,0,0,"3-4",1,"L'ho provato","No",2,1.77777777777778,3,3,7,1,0,2,3,23,6.33333333333333,41.5,57.1666666666667,14.1666666666667
"17","Femmina",1999,"Castani","Castani",167,59,0,0,"Sì",17,43,296,272,10,1,4,5,8,6,"Non fumo","Tra 1 e 5","3 o 4","Una o poche volte all'anno",5,0,0,"1-2",0,"Mai","No",1.77777777777778,2.44444444444444,0,9,10,0,0,1,1,21,6.33333333333333,59.3333333333333,26.5,78.1666666666667
"18","Femmina",1998,"Azzurri","Biondi",173,55,0,4,"No",NA,204,627,512,10,99,13,5,0,8,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",0,0,0,"Meno di 1 al giorno",1,"Occasionale","Occasionale",2.38888888888889,3.83333333333333,7,3,7,0,0,2,2,22,4.33333333333333,93.1666666666667,24.5,46.3333333333333
"19","Maschio",1999,"Azzurri","Biondi",175,60,4,0,"No",NA,23,300,270,15,10,0,1,3,1,"Non fumo","Nessuno","0","Mai o quasi",90,7,90,"Meno di 1 al giorno",1,"Mai","No",2.61111111111111,2.77777777777778,0,0,0,0,1,1,2,21,1.66666666666667,51.5,124.333333333333,14.1666666666667
"20","Femmina",1999,"Azzurri","Castani",164,50,0,1,"No",NA,2,198,134,15,33,1,6,2,1,"Non fumo","Tra 1 e 5","5 o 6","Una o poche volte all'anno",40,2,60,"Meno di 1 al giorno",2,"Mai","No",3.11111111111111,4.44444444444444,8,7,10,1,1,1,3,21,3,75.3333333333333,88.3333333333333,84.3333333333333
"21","Femmina",1999,"Castani","Castani",170,59,0,6,"No",NA,43,273,230,4,NA,0,1,5,2,"Non fumo","Tra 1 e 5","3 o 4","Circa una volta al mese",40,0,0,"3-4",2,"L'ho provato","No",3.83333333333333,3.94444444444444,11,10,10,0,1,3,4,21,2.66666666666667,60.6666666666667,47.6666666666667,95.3333333333333
"22","Femmina",1999,"Neri","Castani",172,47,0,1,"No",NA,1,971,501,50,10,1,4,1,1,"Da 11 a 20","Tra 11 e 15","5 o 6","Circa una volta a settimana",40,0,0,"1-2",2,"Occasionale","Occasionale",4.22222222222222,4.5,17,13,20,1,2,2,5,21,2,77,47.6666666666667,114.166666666667
"23","Maschio",1997,"Azzurri","Biondi",190,80,0,0,"Sì",48,144,467,974,50,100,0,6,8,6,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta al mese",30,5,40,"Meno di 1 al giorno",1,"Mai","No",3.33333333333333,2.61111111111111,15,12,14,0,2,2,4,23,6.66666666666667,85,86.8333333333333,77.3333333333333
"24","Femmina",1999,"Castani","Castani",158,46,0,4,"Sì",12,30,717,560,10,64,8,3,1,2,"Non fumo","Tra 1 e 5","1 o 2","Una o poche volte all'anno",30,2,50,"1-2",0,"Mai","No",2.61111111111111,3.66666666666667,15,15,16,0,2,1,3,21,2,87,76.8333333333333,60.1666666666667
"25","Femmina",1966,"Castani","Castani",167,63,0,0,"Sì",100,30,354,1,5,10,3,2,0,1,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta a settimana",1,3,2,"5+",0,"L'ho provato","No",3.16666666666667,1.5,4,4,7,0,2,1,3,54,1,54,61.8333333333333,69.5
"26","Femmina",NA,"Azzurri","Castani",165,55,2,1,"Sì",24,821,739,954,1,70,0,4,2,5,"Da 11 a 20",NA,"3 o 4","Circa una volta a settimana",30,0,0,"Meno di 1 al giorno",3,"Settimanale","No",1.77777777777778,3.61111111111111,3,6,7,0,1,1,2,NA,3.66666666666667,45.3333333333333,39.1666666666667,108.833333333333
"27","Femmina",2000,"Castani","Castani",163,55,0,0,"No",NA,72,669,577,10,60,1,4,2,7,"Non fumo","Tra 6 e 10","1 o 2","Circa una volta a settimana",90,1,20,"3-4",1,"Occasionale","Occasionale",2.44444444444444,6.11111111111111,12,9,17,0,0,1,1,20,4.33333333333333,74.5,92.1666666666667,86
"28","Femmina",1999,"Neri","Castani",163,57,0,2,"Sì",55,53,222,1172,10,NA,NA,0,1,2,"Da 1 a 5","Tra 1 e 5","1 o 2","Mai o quasi",60,0,0,"3-4",3,"Occasionale","Occasionale",2.16666666666667,4.33333333333333,14,5,17,NA,NA,NA,NA,21,1,107.5,57.1666666666667,46.3333333333333
"29","Femmina",1999,"Verdi","Castani",160,52,0,0,"Sì",0,23,493,481,10,100,1,5,2,2,"Da 1 a 5","Tra 6 e 10","1 o 2","Circa una volta al mese",60,4,2,"3-4",3,"Quotidiano","Settimanale",2.11111111111111,4.72222222222222,14,3,21,0,1,1,2,21,3,79.5,97.1666666666667,93.8333333333333
"30","Femmina",NA,"Castani","Castani",171,67,0,2,"No",NA,140,582,416,50,30,3,0,2,0,"Da 1 a 5","Tra 6 e 10","5 o 6","Circa una volta al mese",60,0,0,"3-4",1,"Occasionale","No",2.88888888888889,3.5,6,9,12,0,0,0,0,NA,0.666666666666667,92.5,57.1666666666667,118
"31","Maschio",1999,"Azzurri","Castani",185,74,0,0,"No",NA,98,1091,620,200,342,0,3,5,0,NA,"Tra 1 e 5",NA,"Ogni giorno o quasi ogni giorno",200,5,100,"1-2",2,"Settimanale","No",2.72222222222222,2.27777777777778,5,5,14,1,3,1,5,21,2.66666666666667,93.3333333333333,127.166666666667,107.666666666667
"32","Femmina",1999,"Castani","Castani",170,68,1,1,"Sì",24,215,1175,563,8,20,3,4,5,8,"Da 6 a 10","Tra 6 e 10","5 o 6","Circa una volta al mese",0,0,0,"1-2",3,"Occasionale","No",2.61111111111111,4.61111111111111,10,16,20,1,0,1,2,21,5.66666666666667,63.8333333333333,24.5,118
"33","Femmina",1999,"Castani","Castani",158,47,0,8,"No",NA,0,0,0,1,0,0,1,0,0,"Non fumo","Nessuno","0","Mai o quasi",60,0,0,"1-2",0,"Mai","No",3.27777777777778,3.72222222222222,11,4,9,0,0,0,0,21,0.333333333333333,16,57.1666666666667,14.1666666666667
"34","Maschio",1999,"Azzurri","Castani",185,57,0,0,"No",NA,6,219,404,5,0,0,0,4,0,"Non fumo",NA,"3 o 4","Circa una volta a settimana",30,0,0,"Meno di 1 al giorno",3,"Occasionale","Occasionale",1.22222222222222,3.94444444444444,2,5,4,0,0,1,1,21,1.33333333333333,23.1666666666667,39.1666666666667,109.166666666667
"35","Femmina",1999,"Castani","Castani",155,54,0,6,"No",NA,17,278,307,4,350,1,4,1,8,"Non fumo","Tra 1 e 5","1 o 2","Una o poche volte all'anno",30,2,30,"3-4",2,"Occasionale","Occasionale",4.83333333333333,4.27777777777778,17,10,9,0,3,1,4,21,4.33333333333333,71.5,72.8333333333333,60.1666666666667
"36","Femmina",1999,"Azzurri","Biondi",170,45,0,0,"No",NA,143,545,275,20,14,7,3,4,2,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta al mese",30,1,30,"1-2",0,"Mai","No",3.38888888888889,4.88888888888889,9,9,16,0,3,1,4,21,3,82.1666666666667,68.3333333333333,77.3333333333333
"37","Femmina",1999,"Castani","Neri",165,53,0,0,"No",NA,0,0,0,5,10,0,2,2,0,"Da 1 a 5","Tra 1 e 5","1 o 2","Una o poche volte all'anno",40,0,0,"3-4",1,"Mai","No",2.83333333333333,5.16666666666667,12,11,18,0,0,1,1,21,1.33333333333333,34.3333333333333,47.6666666666667,60.1666666666667
"38","Femmina",1999,"Verdi","Neri",152,40,0,1,"No",NA,0,0,0,2,0,0,7,5,5,NA,NA,NA,"Circa una volta a settimana",30,0,0,"1-2",3,"Occasionale","No",4.27777777777778,4,19,16,16,0,2,1,3,21,5.66666666666667,17,39.1666666666667,117.833333333333
"39","Femmina",1999,"Castani","Rossi",170,50,0,1,"Sì",64,116,459,321,30,20,2,2,0,0,"Da 11 a 20","Nessuno","1 o 2","Una o poche volte all'anno",30,0,0,"3-4",3,"Occasionale","No",1.77777777777778,2.22222222222222,8,8,11,0,2,0,2,21,0.666666666666667,83.3333333333333,39.1666666666667,43
"40","Maschio",1999,"Azzurri","Castani",185,62,0,0,"No",NA,6,740,345,20,13,0,1,1,1,"Da 6 a 10",NA,NA,"Circa una volta a settimana",20,0,0,"1-2",3,"Quotidiano","Settimanale",2.77777777777778,5.77777777777778,5,3,10,1,1,2,4,21,1,57.8333333333333,31,118.5
"41","Femmina",1999,"Azzurri","Castani",172,56,0,0,"No",NA,39,415,787,10,50,15,7,3,5,"Da 1 a 5","Tra 6 e 10","1 o 2","Circa una volta al mese",60,2,120,"3-4",1,"Occasionale","Occasionale",3.66666666666667,5.22222222222222,9,10,13,0,1,1,2,21,5,88.5,105.833333333333,93.8333333333333
"42","Femmina",1999,"Castani","Castani",162,50,0,0,"Sì",18,32,403,270,10,10,0,2,10,5,"Non fumo","Nessuno","1 o 2","Mai o quasi",60,4,60,"1-2",0,"Mai","No",1.83333333333333,2.22222222222222,0,4,6,0,2,2,4,21,5.66666666666667,45.1666666666667,107.666666666667,29.1666666666667
"43","Femmina",1998,"Verdi","Biondi",163,58,12,1,"Sì",12,0,0,0,0,0,0,2,2,0,"Da 11 a 20","Tra 1 e 5","3 o 4","Una o poche volte all'anno",30,2,60,"3-4",2,"L'ho provato","No",4.16666666666667,3.38888888888889,2,0,2,0,1,1,2,22,1.33333333333333,14.1666666666667,79.8333333333333,78.1666666666667
"44","Femmina",1999,"Castani","Castani",164,60,0,0,"Sì",2,0,0,0,4,0,0,2,4,2,"Non fumo","Tra 1 e 5","1 o 2","Una o poche volte all'anno",30,2,15,"1-2",2,"Occasionale","No",2.55555555555556,4.88888888888889,7,0,5,0,2,1,3,21,2.66666666666667,20.5,70.1666666666667,60.1666666666667
"45","Maschio",1998,"Castani","Castani",181,74,0,0,"No",NA,32,323,271,20,20,0,3,2,2,"Non fumo","Tra 6 e 10","1 o 2","Circa una volta al mese",120,2,60,"1-2",1,"L'ho provato","No",4.22222222222222,2.94444444444444,5,0,4,0,1,1,2,22,2.33333333333333,60.6666666666667,107,93.8333333333333
"46","Maschio",1996,"Castani","Castani",182,65,0,0,"Sì",50,0,0,0,0,0,0,3,6,3,"Non fumo","Tra 1 e 5","1 o 2","Una o poche volte all'anno",15,0,0,"1-2",2,"Quotidiano","Occasionale",3.05555555555556,3.16666666666667,14,5,9,0,0,2,2,24,4,14.1666666666667,28.5,60.1666666666667
"47","Femmina",1999,"Castani","Castani",167,53,0,0,"No",NA,9,1074,395,20,150,0,5,0,3,"Non fumo","Nessuno","1 o 2","Mai o quasi",60,0,0,"3-4",0,"Occasionale","Occasionale",3.33333333333333,4.72222222222222,16,3,4,0,1,2,3,21,2.66666666666667,78,57.1666666666667,29.1666666666667
"48","Femmina",1999,"Castani","Castani",164,58,0,0,"No",NA,33,534,494,10,200,3,3,6,1,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",60,4,45,"3-4",1,"L'ho provato","No",4.5,5.38888888888889,12,3,13,0,3,1,4,21,3.33333333333333,89.3333333333333,103.333333333333,46.3333333333333
"49","Femmina",1999,"Verdi","Castani",160,46,0,0,"Sì",18,185,539,647,10,200,30,3,1,3,"Non fumo","Nessuno",NA,"Una o poche volte all'anno",20,0,0,"1-2",3,"L'ho provato","No",3.27777777777778,6.44444444444444,20,7,16,0,0,1,1,21,2.33333333333333,101,31,70
"50","Femmina",1999,"Castani","Neri",158,52.5,0,1,"No",NA,8,348,265,10,100,15,2,0,4,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",20,2,20,"3-4",0,"Mai","No",2.66666666666667,2.27777777777778,2,3,1,0,2,1,3,21,2,95.5,63.1666666666667,46.3333333333333
"51","Femmina",1991,"Castani","Castani",170,62,2,0,"Sì",84,517,327,672,7,3,10,3,2,3,"Non fumo","Tra 11 e 15","1 o 2","Circa una volta a settimana",80,0,0,"5+",2,"L'ho provato","Occasionale",2.94117647058824,2.11111111111111,4,2,6,0,0,2,2,29,2.66666666666667,58.5,63.5,90
"52","Femmina",1999,"Castani","Castani",165,65,0,0,"No",NA,66,170,800,4,4,1,3,2,5,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",60,3,60,"3-4",0,"Mai","No",4.05555555555556,3.88888888888889,6,7,8,0,0,1,1,21,3.33333333333333,40.1666666666667,103.666666666667,46.3333333333333
"53","Femmina",1999,"Verdi","Castani",153,48,0,0,"No",NA,43,885,590,20,7,5,5,0,2,"Da 11 a 20","Tra 6 e 10",NA,"Circa una volta a settimana",10,0,0,"1-2",3,"L'ho provato","No",2.55555555555556,5.11111111111111,11,8,16,1,3,2,6,21,2.33333333333333,75.5,27.1666666666667,113.333333333333
"54","Femmina",1999,"Castani","Castani",168,57,0,0,"Sì",8,91,833,630,25,20,1,4,7,2,"Non fumo","Tra 6 e 10","1 o 2","Circa una volta al mese",30,0,60,"1-2",2,"Mai","No",2.77777777777778,5.88888888888889,12,13,17,0,2,2,4,21,4.33333333333333,77.3333333333333,62.5,93.8333333333333
"55","Femmina",1998,"Verdi","Castani",178,65,1,4,"No",NA,31,285,374,3,30,1,0,0,0,"Non fumo","Tra 1 e 5","3 o 4","Mai o quasi",30,4,90,"1-2",0,"Mai","No",4,4.16666666666667,9,4,4,0,0,0,0,22,0,51.6666666666667,94,64.3333333333333
"56","Femmina",1999,"Castani","Castani",180,75,0,0,"No",NA,2,636,598,50,200,0,10,8,5,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",1,3,1.15,"3-4",0,"Mai","No",3.16666666666667,5.61111111111111,16,13,16,1,0,2,3,21,7.66666666666667,88.3333333333333,61,46.3333333333333
"57","Femmina",1999,"Castani","Castani",177,60,4,3,"No",NA,47,605,542,3,NA,NA,1,4,0,"Da 6 a 10","Tra 6 e 10","1 o 2","Circa una volta a settimana",60,3,90,"3-4",3,"Settimanale","Occasionale",4,5.23529411764706,10,6,10,1,1,1,3,21,1.66666666666667,92.5,108,86
"58","Femmina",1999,"Azzurri","Castani",163,50,0,0,"No",NA,15,120,200,3,2,1,1,3,2,"Non fumo","Tra 1 e 5","1 o 2",NA,40,0,0,"3-4",0,"Mai","No",2.83333333333333,4.94444444444444,7,8,13,0,0,0,0,21,2,36.3333333333333,47.6666666666667,82
"59","Maschio",1998,"Azzurri","Biondi",175,74,1,1,"No",NA,19,178,178,20,1,4,3,7,2,"Non fumo","Tra 1 e 5","3 o 4","Circa una volta al mese",90,3,60,"3-4",3,"Quotidiano","Occasionale",2.44444444444444,4.88888888888889,14,2,9,0,3,2,5,22,4,69.3333333333333,111,95.3333333333333
"60","Femmina",1999,"Azzurri","Biondi",164,53,2,1,"No",NA,200,696,548,500,200,1,4,4,3,"Non fumo","Tra 1 e 5","1 o 2","Una o poche volte all'anno",20,0,0,"3-4",0,"Mai","No",3.05555555555556,3.77777777777778,12,10,12,0,0,2,2,21,3.66666666666667,105.333333333333,31,60.1666666666667
"61","Femmina",1999,"Verdi","Castani",165,57,0,0,"Sì",8,35,461,422,500,500,3,5,6,9,"Non fumo","Tra 1 e 5","5 o 6","Circa una volta a settimana",30,3,90,"5+",2,"L'ho provato","No",3.5,3.83333333333333,3,2,10,0,0,1,1,21,6.66666666666667,114.666666666667,90,93.6666666666667
"62","Femmina",1999,"Verdi","Castani",168,54,0,0,"No",NA,18,421,321,10,60,0,4,8,2,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta al mese",30,0,0,"3-4",0,"L'ho provato","No",4,5.5,17,13,18,0,0,2,2,21,4.66666666666667,61.3333333333333,39.1666666666667,77.3333333333333
"63","Femmina",1999,"Verdi","Castani",155,56,0,0,"Sì",21,39,493,616,10,0,3,8,9,10,"Non fumo","Tra 1 e 5","3 o 4","Una o poche volte all'anno",30,2,40,"1-2",0,"Mai","No",1.72222222222222,2.11111111111111,3,2,7,0,0,1,1,21,9,53.6666666666667,74.3333333333333,78.1666666666667
"64","Femmina",1999,"Castani","Castani",172,56,0,0,"No",NA,42,385,268,5,10,0,1,2,1,"Non fumo","Tra 1 e 5","3 o 4","Una o poche volte all'anno",60,0,0,"1-2",0,"Occasionale","No",3.77777777777778,3.83333333333333,3,0,3,0,2,2,4,21,1.33333333333333,34.3333333333333,57.1666666666667,78.1666666666667
"65","Femmina",1999,"Azzurri","Biondi",173,65,0,0,"No",NA,15,200,300,20,20,0,8,6,7,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",120,4,60,"5+",0,"Mai","No",3.61111111111111,4.66666666666667,4,5,13,1,2,1,4,21,7,60.6666666666667,116.833333333333,46.3333333333333
"66","Maschio",1995,"Azzurri","Biondi",182,75,0,2,"No",NA,14,490,750,50,250,0,3,4,1,"Da 6 a 10","Tra 1 e 5","3 o 4","Una o poche volte all'anno",120,2,90,"1-2",0,"Quotidiano","No",3,1.94444444444444,1,1,2,0,2,2,4,25,2.66666666666667,89.8333333333333,111.333333333333,78.1666666666667
"67","Femmina",1999,"Azzurri","Castani",165,69,0,0,"Sì",60,72,166,383,20,40,0,9,3,3,"Non fumo","Nessuno","1 o 2","Mai o quasi",15,0,0,"1-2",0,"Mai","No",2.16666666666667,3.27777777777778,16,17,17,0,0,1,1,21,5,67.6666666666667,28.5,29.1666666666667
"68","Femmina",1976,"Castani","Castani",170,58,0,0,"Sì",100,0,0,0,2,1,NA,3,2,0,"Non fumo","Tra 1 e 5","1 o 2","Una o poche volte all'anno",50,0,0,"3-4",1,"L'ho provato","No",2.125,1.66666666666667,1,1,5,0,2,1,3,44,1.66666666666667,54.1666666666667,51,60.1666666666667
"69","Femmina",1999,"Castani","Castani",167,53,0,4,"No",NA,17,360,407,0,0,0,0,0,1,"Non fumo","Tra 1 e 5","5 o 6","Una o poche volte all'anno",30,2,120,"1-2",0,"L'ho provato","No",5,3.94444444444444,9,1,4,0,1,0,1,21,0.333333333333333,14.1666666666667,87.8333333333333,84.3333333333333
"70","Femmina",1999,"Castani","Castani",160,60,0,0,"No",NA,20,639,531,20,35,1,8,9,4,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",35,2,1,"Meno di 1 al giorno",0,"Mai","No",NA,NA,4,2,7,0,0,1,1,21,7,79.3333333333333,74.6666666666667,46.3333333333333
"71","Femmina",1999,"Azzurri","Biondi",165,62,5,0,"Sì",11,127,646,839,10,200,0,5,6,1,"Non fumo","Nessuno","1 o 2","Mai o quasi",30,0,0,"3-4",0,"Mai","No",2.61111111111111,2.72222222222222,0,0,8,1,3,2,6,21,4,69.6666666666667,39.1666666666667,29.1666666666667
"72","Femmina",1988,"Castani","Castani",160,57,3,0,"Sì",48,88,177,283,20,30,3,6,1,3,"Non fumo","Nessuno","0","Mai o quasi",60,0,0,"1-2",1,"L'ho provato","No",4.77777777777778,1.88888888888889,8,0,10,0,0,2,2,32,3.33333333333333,83.8333333333333,57.1666666666667,14.1666666666667
"73","Femmina",1999,"Verdi","Biondi",160,46,0,0,"Sì",32,17,493,481,3,10,0,1,0,0,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",60,0,0,"1-2",0,"L'ho provato","No",1.83333333333333,1.77777777777778,8,7,9,0,1,2,3,21,0.333333333333333,29.5,57.1666666666667,46.3333333333333
"74","Femmina",1999,"Castani","Castani",172,60,1,1,"Sì",12,33,565,608,10,50,2,6,8,8,"Non fumo","Nessuno","3 o 4","Una o poche volte all'anno",40,0,0,"Meno di 1 al giorno",0,"Mai","No",1.88888888888889,2.94444444444444,11,9,16,1,1,1,3,21,7.33333333333333,76.6666666666667,47.6666666666667,61
"75","Femmina",1999,"Castani","Castani",164,53,0,0,"No",NA,0,0,0,0,0,0,3,9,8,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",35,3,45,"Meno di 1 al giorno",0,"Mai","No",3.66666666666667,4.16666666666667,9,10,12,0,0,1,1,21,6.66666666666667,14.1666666666667,87.8333333333333,46.3333333333333
"76","Femmina",1999,"Castani","Castani",180,67,0,1,"No",NA,27,607,457,500,500,150,0,0,1,"Da 1 a 5","Tra 1 e 5","3 o 4","Circa una volta a settimana",30,0,0,"1-2",3,"L'ho provato","No",2.5,5.22222222222222,16,9,8,0,0,1,1,21,0.333333333333333,127.666666666667,39.1666666666667,87.5
"77","Femmina",1999,"Castani","Castani",163,70,5,8,"No",NA,383,1820,940,10,80,0,0,0,2,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta a settimana",40,7,30,"3-4",0,"Mai","No",4.77777777777778,3.33333333333333,6,9,9,0,1,2,3,21,0.666666666666667,64.1666666666667,96.1666666666667,69.5
"78","Maschio",1999,"Verdi","Castani",172,76,0,0,"No",NA,16,343,4,7,20,0,2,0,0,"Non fumo","Tra 1 e 5","1 o 2","Mai o quasi",30,0,0,"5+",3,"Mai","No",2.05555555555556,3.38888888888889,2,4,9,0,1,2,3,21,0.666666666666667,43.1666666666667,39.1666666666667,46.3333333333333
"79","Femmina",1999,"Azzurri","Castani",175,64,0,0,"No",NA,61,708,282,20,60,0,3,3,1,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta al mese",40,3,60,"3-4",0,"L'ho provato","No",2.05555555555556,3.72222222222222,8,1,3,0,2,1,3,21,2.33333333333333,71.3333333333333,94.1666666666667,77.3333333333333
"80","Maschio",1999,"Castani","Castani",182,58,0,0,"No",NA,0,14,16,6,5,0,3,2,3,"Da 11 a 20","Tra 11 e 15","5 o 6","Circa una volta a settimana",20,3,35,"1-2",3,"Settimanale","No",4.16666666666667,3.38888888888889,12,0,5,0,0,1,1,21,2.66666666666667,32.8333333333333,71.5,114.166666666667
"81","Maschio",NA,"Castani","Castani",169,64,0,0,"No",NA,18,126,NA,777,1000,100,6,10,7,"Non fumo","Tra 1 e 5","1 o 2","Circa una volta a settimana",60,0,0,"Meno di 1 al giorno",1,"Settimanale","Occasionale",2.61111111111111,5.5,13,10,12,0,0,0,0,NA,7.66666666666667,129.166666666667,57.1666666666667,69.5
